id,matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp
f554e29b,34,34,3060,34,53,182,129,6,10,18,6,5,5,0,0,21,ITA
f6a06749,1,0,23,0,1,2,1,0,0,0,0,0,0,0,0,21,ITA
f794b426,4,4,334,3,11,18,7,0,1,3,0,0,0,0,0,21,ITA
1d2d5cc8,37,37,3330,37,45,127,83,16,12,9,8,3,3,0,0,21,FRA
20de219a,1,1,90,1,1,2,1,1,0,0,0,0,0,0,0,21,FRA
2434f24a,38,38,3420,38,56,156,100,13,6,19,14,8,7,1,0,21,FRA
28a65a2c,29,29,2610,29,42,100,60,8,9,12,9,4,4,0,0,21,FRA
28dabd43,38,38,3420,38,58,139,82,12,8,18,9,8,7,1,0,21,FRA
2b9b37b2,3,3,270,3,4,11,7,1,1,1,1,1,1,0,0,21,FRA
2c127b6f,3,1,107,1,3,7,4,0,0,1,0,1,1,0,0,21,FRA
2d70dbe5,23,23,2070,23,43,111,68,6,4,13,3,5,4,0,1,21,FRA
2fa2a875,28,28,2520,28,27,68,42,18,5,5,13,3,3,0,0,21,FRA
33887998,1,1,90,1,1,1,0,0,1,0,0,0,0,0,0,21,FRA
380a15e2,9,7,745,8,11,42,31,4,2,1,3,1,1,0,0,21,FRA
3814120d,8,8,720,8,14,32,19,2,0,6,2,1,1,0,0,21,FRA
4e7db402,38,38,3420,38,55,168,113,9,13,16,5,12,10,1,1,21,FRA
58ad9383,37,37,3285,36,49,162,112,9,15,13,10,7,4,2,1,21,FRA
5ee6e943,5,4,361,4,10,23,13,0,1,3,0,3,3,0,0,21,FRA
5f0241b2,10,8,810,9,9,36,28,5,1,2,5,0,0,0,0,21,FRA
667b65da,8,8,720,8,8,28,19,4,1,3,3,4,2,1,1,21,FRA
74733221,15,15,1350,15,14,54,40,9,4,2,5,0,0,0,0,21,FRA
76806215,1,1,90,1,2,5,3,0,0,1,0,0,0,0,0,21,FRA
834b5c4c,6,6,540,6,13,26,13,1,2,3,0,2,2,0,0,21,FRA
8a2248b4,38,38,3420,38,53,176,123,15,7,16,9,7,7,0,0,21,FRA
a4527d33,24,24,2160,24,31,91,59,8,7,9,8,5,3,1,1,21,FRA
abc06eb3,21,21,1890,21,33,93,59,2,6,13,3,4,3,1,0,21,FRA
ae7d0ecd,34,34,3058,34,38,127,89,12,10,12,8,10,9,1,0,21,FRA
b052b8bf,12,12,1080,12,30,66,36,2,2,8,3,3,1,1,1,21,FRA
b49729cb,35,35,3150,35,62,169,108,10,7,18,6,10,8,1,1,21,FRA
bcf1b2e9,38,38,3420,38,71,196,122,9,8,21,8,10,6,3,1,21,FRA
be13e5a8,1,1,90,1,4,4,0,0,0,1,0,1,0,0,1,21,FRA
c4173f1a,9,9,810,9,14,33,19,5,1,3,2,2,2,0,0,21,FRA
c631f952,31,31,2673,29,51,155,106,10,10,11,2,11,11,0,0,21,FRA
cecbce23,27,27,2430,27,35,107,74,7,6,14,5,7,6,0,1,21,FRA
db87a2c4,1,1,90,1,1,3,2,0,0,1,0,0,0,0,0,21,FRA
ecada4fc,29,29,2520,28,18,92,73,21,3,5,14,2,1,1,0,21,FRA
edbe46dc,37,37,3313,36,51,136,88,15,12,10,8,10,10,0,0,21,FRA
eedea60b,2,1,135,1,1,6,5,0,0,1,0,1,1,0,0,21,FRA
f00de885,38,38,3420,38,43,134,92,22,10,6,11,7,5,1,1,21,FRA
fbf83734,15,15,1350,15,25,56,32,5,5,5,2,6,6,0,0,21,FRA
fcb38f57,38,38,3420,38,23,107,85,24,11,3,21,2,1,1,0,21,FRA
0d55d942,25,25,2175,24,51,123,72,7,5,13,4,5,5,0,0,22,GER
0d8a37c2,1,1,90,1,1,3,2,0,1,0,0,0,0,0,0,22,GER
11d8aff0,1,1,90,1,3,4,1,0,0,1,0,0,0,0,0,22,GER
17376543,34,34,3060,34,56,156,102,10,8,16,9,5,5,0,0,22,GER
1940be91,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,GER
25bdea4b,14,14,1260,14,28,72,46,2,4,8,3,3,3,0,0,22,GER
2e7ff968,5,4,405,4,12,25,13,1,0,3,0,2,2,0,0,22,GER
37998008,1,1,90,1,2,6,5,1,0,0,0,0,0,0,0,22,GER
3cd9e95a,13,13,1170,13,21,56,36,4,6,3,1,0,0,0,0,22,GER
420c18a1,33,33,2970,33,60,182,120,12,8,13,5,5,3,2,0,22,GER
47064058,33,33,2970,33,57,155,98,12,7,14,8,4,2,1,1,22,GER
4d6a842d,12,12,1080,12,24,62,39,1,5,6,3,1,1,0,0,22,GER
5584552e,10,9,885,9,20,49,29,2,1,6,2,3,3,0,0,22,GER
5c4bf6ba,32,32,2880,32,42,120,78,12,6,14,10,5,4,1,0,22,GER
62ba5881,1,1,90,1,0,4,4,1,0,0,1,0,0,0,0,22,GER
73e2f6eb,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,22,GER
7d3e7da6,6,6,540,6,11,23,13,2,1,3,1,1,1,0,0,22,GER
7fe12375,27,27,2430,27,39,104,68,11,7,9,6,2,2,0,0,22,GER
83e0eeb4,3,3,270,3,7,21,14,2,0,1,0,2,2,0,0,22,GER
86314793,8,8,720,8,30,54,26,0,0,8,0,2,2,0,0,22,GER
87436846,21,21,1890,21,28,98,70,10,4,7,3,1,0,1,0,22,GER
8778c910,28,28,2510,27,26,89,63,22,4,2,10,1,1,0,0,22,GER
8a6ab963,1,1,90,1,1,2,1,1,0,0,0,0,0,0,0,22,GER
9d12e142,1,1,90,1,1,1,0,1,0,0,0,1,1,0,0,22,GER
9f941969,31,31,2790,31,45,155,112,10,6,15,7,6,3,2,1,22,GER
a70b8345,7,7,630,7,5,18,14,5,2,0,2,0,0,0,0,22,GER
a92ab7be,32,32,2880,32,39,141,103,15,9,8,10,2,2,0,0,22,GER
a9a6fc08,2,2,180,2,7,12,5,0,1,1,0,0,0,0,0,22,GER
ad3389d5,32,32,2880,32,44,154,109,17,7,8,8,4,2,1,1,22,GER
b90c4a43,1,1,90,1,1,4,3,0,1,0,0,0,0,0,0,22,GER
bcb2ccd8,33,33,2967,33,34,111,78,17,7,9,9,3,3,0,0,22,GER
c1242d4e,33,33,2970,33,53,176,125,4,13,16,6,7,7,0,0,22,GER
c41f7379,1,1,90,1,3,7,4,1,0,0,0,0,0,0,0,22,GER
c89e8aae,6,6,540,6,14,38,25,1,0,5,1,1,1,0,0,22,GER
cbac6ec9,30,30,2700,30,52,139,88,7,10,13,4,4,4,0,0,22,GER
cd59b9df,29,29,2565,28,39,110,73,20,3,6,7,3,3,0,0,22,GER
ce17b5eb,32,32,2880,32,46,157,112,10,11,11,5,4,4,0,0,22,GER
d28339cb,4,4,360,4,7,24,17,0,2,2,0,0,0,0,0,22,GER
db401046,28,28,2520,28,40,118,76,11,6,11,10,6,3,2,1,22,GER
dee3013b,2,2,180,2,3,5,2,1,1,0,0,1,1,0,0,22,GER
f26dee6b,1,1,90,1,2,4,2,0,0,1,0,0,0,0,0,22,GER
19e50035,4,4,360,4,12,22,9,0,1,3,0,3,2,1,0,22,ENG
1c0eea98,12,12,1080,12,28,72,46,1,0,11,0,3,3,0,0,22,ENG
2628fd2b,4,4,360,4,9,19,10,1,0,3,1,0,0,0,0,22,ENG
28300a16,1,1,90,1,2,5,3,0,0,1,0,0,0,0,0,22,ENG
28d596a0,4,4,360,4,2,13,11,2,1,1,2,0,0,0,0,22,ENG
2f965a72,1,1,90,1,1,3,2,0,0,1,0,0,0,0,0,22,ENG
33887998,34,34,3060,34,31,102,72,19,10,5,14,6,6,0,0,22,ENG
36c2ca73,17,17,1530,17,27,71,44,3,7,7,5,0,0,0,0,22,ENG
3a949a25,26,26,2340,26,35,106,72,13,4,9,8,1,1,0,0,22,ENG
3bb7b8b4,37,37,3330,37,26,83,57,28,6,3,20,1,1,0,0,22,ENG
3f70db80,1,0,36,0,0,4,4,0,0,0,0,0,0,0,0,22,ENG
42130443,1,1,90,1,0,2,2,1,0,0,1,0,0,0,0,22,ENG
466fb2c5,34,34,3060,34,39,128,90,21,3,10,12,6,5,0,1,22,ENG
4806ec67,35,35,3150,35,58,170,116,10,6,19,7,1,1,0,0,22,ENG
4b40d9ca,36,36,3240,36,47,165,119,7,14,15,9,5,5,0,0,22,ENG
53af52f3,37,37,3330,37,58,187,128,13,10,14,7,9,7,2,0,22,ENG
62d7ef38,2,2,180,2,2,8,6,1,1,0,1,0,0,0,0,22,ENG
6a713852,37,37,3329,37,42,141,99,12,15,10,11,4,3,0,1,22,ENG
6b625ac2,38,38,3384,37,79,220,142,9,11,18,5,5,5,0,0,22,ENG
76eca7e2,2,2,180,2,6,13,8,0,0,2,0,0,0,0,0,22,ENG
7956236f,36,36,3240,36,48,140,93,13,6,17,11,6,4,1,1,22,ENG
7a2e46a8,36,36,3240,36,24,99,76,27,7,2,20,0,0,0,0,22,ENG
7b4de647,3,3,270,3,8,18,11,1,0,2,1,1,1,0,0,22,ENG
7ba6d84e,38,38,3420,38,57,180,124,16,10,12,8,5,3,2,0,22,ENG
8f62b6ee,38,38,3420,38,40,137,98,22,5,11,16,2,2,0,0,22,ENG
903b6e8b,37,37,3285,36,40,160,121,15,5,17,11,10,9,0,1,22,ENG
9328b835,37,37,3330,37,50,162,111,16,8,13,8,6,2,3,1,22,ENG
939bc634,2,2,180,2,5,7,2,0,0,2,0,0,0,0,0,22,ENG
98ea5115,24,24,2160,24,27,103,76,10,5,9,8,4,4,0,0,22,ENG
a179d516,2,2,180,2,5,11,6,0,1,1,0,0,0,0,0,22,ENG
a8a3d139,1,1,90,1,3,4,1,0,0,1,0,0,0,0,0,22,ENG
ab13a5aa,30,30,2655,29,33,116,83,9,11,10,11,3,3,0,0,22,ENG
c3e39f12,19,19,1710,19,35,101,68,6,5,8,3,2,2,0,0,22,ENG
cc70a1d5,9,8,765,8,13,28,16,2,4,2,1,1,0,1,0,22,ENG
cde3309f,8,8,720,8,15,37,23,0,5,3,0,2,2,0,0,22,ENG
d0b3ceb9,26,26,2340,26,49,116,67,5,5,16,4,4,3,1,0,22,ENG
d3ce0e89,1,1,90,1,1,5,4,1,0,0,0,0,0,0,0,22,ENG
da8b19e2,2,1,135,1,3,7,4,0,1,0,0,0,0,0,0,22,ENG
e082af5b,9,9,810,9,22,57,34,1,2,6,1,4,2,1,1,22,ENG
e7ee38c3,1,1,90,1,3,5,2,0,0,1,0,0,0,0,0,22,ENG
f127d782,12,12,1080,12,24,69,47,3,2,7,1,1,1,0,0,22,ENG
f23f9d20,29,29,2610,29,62,165,105,4,5,20,5,8,7,0,1,22,ENG
05bffdb1,6,6,540,6,9,20,11,2,0,4,1,1,1,0,0,22,EL
072e68ed,3,3,270,3,6,15,9,0,2,1,0,0,0,0,0,22,EL
0743d0ec,3,3,270,3,2,9,7,1,1,1,1,0,0,0,0,22,EL
10072610,4,4,341,3,6,24,17,2,1,1,0,2,1,1,0,22,EL
118b60ce,1,1,90,1,0,0,0,0,1,0,1,0,0,0,0,22,EL
1d2d5cc8,1,1,90,1,0,0,0,1,0,0,1,0,0,0,0,22,EL
20b9f052,5,5,450,5,7,14,8,0,4,1,2,0,0,0,0,22,EL
20de219a,1,1,90,1,1,4,3,0,1,0,0,1,1,0,0,22,EL
2f965a72,11,11,1020,11,8,38,31,5,2,4,5,0,0,0,0,22,EL
2fabebc0,1,1,90,1,3,3,0,0,0,1,0,0,0,0,0,22,EL
332695f4,2,2,180,2,2,6,4,1,0,1,1,0,0,0,0,22,EL
339fe0e8,8,8,720,8,7,25,19,2,4,2,4,2,2,0,0,22,EL
34ccf6fa,2,2,180,2,1,6,5,1,0,1,1,0,0,0,0,22,EL
374ee424,5,5,450,5,4,14,10,2,3,0,2,0,0,0,0,22,EL
3b0108d6,1,1,90,1,1,3,3,0,1,0,0,0,0,0,0,22,EL
4030c7ae,5,5,450,5,9,30,22,1,0,4,1,1,0,1,0,22,EL
4535e4bb,3,3,270,3,7,20,12,0,1,2,0,3,2,1,0,22,EL
4980c6be,2,2,180,2,4,13,9,0,0,2,0,2,2,0,0,22,EL
510c6a3f,6,6,540,6,8,20,12,2,2,2,2,1,1,0,0,22,EL
53af52f3,6,6,540,6,11,25,13,2,2,2,0,1,0,1,0,22,EL
53e360bb,4,4,360,4,7,23,16,0,1,3,0,0,0,0,0,22,EL
55b93ae0,2,2,210,2,2,8,6,1,0,1,1,0,0,0,0,22,EL
56901a62,1,1,90,1,2,7,6,1,0,0,0,0,0,0,0,22,EL
56f99ec7,1,1,90,1,3,4,1,0,0,1,0,0,0,0,0,22,EL
58f077c0,8,8,720,8,9,31,22,4,1,3,3,1,1,0,0,22,EL
5e8936be,7,7,630,7,8,31,24,3,2,2,1,2,2,0,0,22,EL
6f4e1c93,3,3,270,3,7,12,4,1,0,2,0,0,0,0,0,22,EL
6f51e382,6,6,540,6,8,23,15,2,3,1,1,2,2,0,0,22,EL
7b456af7,8,8,720,8,12,30,18,3,0,5,2,1,1,0,0,22,EL
7f40333d,6,6,540,6,10,27,17,1,2,3,1,3,2,0,1,22,EL
82b1198a,1,1,90,1,2,5,3,0,1,0,0,0,0,0,0,22,EL
8a6ab963,1,1,90,1,1,1,0,0,0,1,0,0,0,0,0,22,EL
9328b835,1,1,90,1,0,0,0,1,0,0,1,0,0,0,0,22,EL
939bc634,3,3,270,3,2,7,5,2,1,0,2,0,0,0,0,22,EL
93fffbcf,4,4,360,4,5,17,12,1,2,1,0,0,0,0,0,22,EL
9413b19f,7,7,630,7,13,24,11,3,1,3,1,2,2,0,0,22,EL
972d595a,3,3,270,3,2,15,11,2,1,0,1,2,0,2,0,22,EL
99047b00,3,3,270,3,5,12,6,0,2,1,0,2,1,1,0,22,EL
a111cf41,6,6,540,6,6,18,12,4,1,1,2,2,1,1,0,22,EL
a2abe631,6,6,540,6,3,22,18,3,3,0,4,1,0,1,0,22,EL
a3b0ed18,4,4,360,4,5,17,12,0,2,2,0,1,1,0,0,22,EL
a9a3b55d,4,4,360,4,7,19,12,1,1,2,2,0,0,0,0,22,EL
ad3389d5,7,7,630,7,8,36,28,4,1,2,2,2,2,0,0,22,EL
afb0c500,7,7,630,7,6,21,15,3,3,1,2,0,0,0,0,22,EL
b69dfb42,6,6,540,6,10,29,19,0,2,4,0,1,1,0,0,22,EL
b9139383,4,4,360,4,10,28,18,1,0,3,1,2,2,0,0,22,EL
bcb2ccd8,6,6,540,6,7,17,10,3,2,1,2,1,1,0,0,22,EL
be855308,2,2,180,2,1,11,10,0,1,1,1,0,0,0,0,22,EL
c924b17d,5,5,450,5,9,28,19,0,2,3,1,0,0,0,0,22,EL
cb4f24c6,5,5,450,5,13,32,20,2,0,3,1,1,1,0,0,22,EL
cc1c5035,2,2,180,2,2,8,6,0,1,1,1,0,0,0,0,22,EL
cd59b9df,2,2,180,2,6,11,6,0,1,1,0,2,2,0,0,22,EL
ce17b5eb,13,13,1230,13,13,47,33,7,6,0,2,3,2,1,0,22,EL
d0d98611,1,1,90,1,2,9,7,0,0,1,0,0,0,0,0,22,EL
d1a08b5a,1,1,90,1,0,1,1,1,0,0,1,0,0,0,0,22,EL
d6f6ce93,2,2,180,2,4,8,4,0,1,1,0,0,0,0,0,22,EL
ea83bfa6,7,6,589,6,11,25,15,2,2,2,2,1,1,0,0,22,EL
ef3909cd,11,11,1050,11,12,35,23,6,2,3,4,5,5,0,0,22,EL
f00de885,8,8,720,8,6,23,17,6,2,0,4,0,0,0,0,22,EL
f3a97d02,14,14,1320,14,15,53,39,6,3,5,3,2,1,1,0,22,EL
f6798fc3,4,4,390,4,4,19,15,2,0,2,1,1,1,0,0,22,EL
f9e0c603,6,6,540,6,10,27,17,1,2,3,1,2,2,0,0,22,EL
fd834d1d,1,1,90,1,3,6,3,0,0,1,0,1,1,0,0,22,EL
04ac8285,17,17,1457,16,29,77,49,4,8,5,3,6,5,1,0,22,SPA
10072610,17,17,1456,16,19,56,39,8,4,5,5,1,1,0,0,22,SPA
17a1299d,1,1,90,1,1,2,1,0,1,0,0,0,0,0,0,22,SPA
1840e36d,36,36,3240,36,29,120,91,26,7,3,16,3,2,1,0,22,SPA
30061f53,1,1,90,1,3,6,3,0,0,1,0,0,0,0,0,22,SPA
3061e1ec,2,2,180,2,2,9,6,0,1,1,0,2,1,1,0,22,SPA
3318286e,35,35,3136,34,55,177,122,8,12,15,7,7,5,2,0,22,SPA
374ee424,35,35,3150,35,32,112,79,15,11,9,19,5,4,1,0,22,SPA
4535e4bb,3,3,270,3,5,15,10,2,0,1,1,1,1,0,0,22,SPA
4eae5bc4,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,22,SPA
58bc7d18,14,14,1260,14,17,60,43,3,4,7,3,0,0,0,0,22,SPA
5dcf3e90,34,34,3060,34,31,111,81,13,11,10,12,3,3,0,0,22,SPA
5f0241b2,14,14,1260,14,29,57,29,4,0,10,1,4,3,1,0,22,SPA
605eb473,21,21,1890,21,26,75,49,6,9,6,8,3,2,1,0,22,SPA
625c144a,32,32,2880,32,28,100,72,14,9,9,14,4,3,1,0,22,SPA
67669ce7,4,3,284,3,6,16,10,0,2,1,1,2,2,0,0,22,SPA
6c4776b1,38,38,3420,38,51,170,117,8,15,15,13,13,11,2,0,22,SPA
6f51e382,35,35,3150,35,34,109,74,19,9,7,11,3,2,1,0,22,SPA
73683fa9,36,36,3177,35,49,157,110,10,12,14,9,4,3,0,1,22,SPA
87b498b0,2,1,108,1,3,3,0,0,0,1,0,0,0,0,0,22,SPA
8f29e08b,2,2,180,2,3,4,2,0,1,1,0,0,0,0,0,22,SPA
8f8c6934,38,38,3414,37,41,132,91,8,15,15,13,4,2,1,1,22,SPA
924ff27e,2,2,180,2,5,14,10,0,0,2,0,1,1,0,0,22,SPA
97852360,34,34,3053,33,60,148,85,8,5,21,5,8,5,3,0,22,SPA
9970da54,4,3,277,3,4,16,12,0,1,2,1,1,1,0,0,22,SPA
9f0ea33f,6,6,540,6,9,28,19,2,2,2,0,1,1,0,0,22,SPA
a01c3d54,13,13,1166,13,29,81,51,1,5,7,2,2,1,1,0,22,SPA
a2c1a8d3,4,4,360,4,5,20,15,1,2,1,1,0,0,0,0,22,SPA
a4995f48,36,36,3240,36,48,147,97,12,10,14,12,7,4,3,0,22,SPA
a9dc785c,3,3,270,3,4,14,10,2,1,0,0,0,0,0,0,22,SPA
ac295d9e,6,6,540,6,5,19,14,4,2,0,4,0,0,0,0,22,SPA
b5bdf144,2,1,135,1,1,9,8,0,0,1,1,1,1,0,0,22,SPA
b6160ad0,38,38,3420,38,43,136,91,12,10,16,14,8,4,4,0,22,SPA
c67cd65c,1,1,4,26,0,0,0,0,0,0,0,0,0,0,0,22,SPA
c818c4d9,8,8,645,7,13,37,24,0,1,7,0,0,0,0,0,22,SPA
c9cb972b,4,3,343,3,4,11,8,2,0,1,1,0,0,0,0,22,SPA
d4b73232,18,18,1620,18,20,75,55,5,7,6,8,2,2,0,0,22,SPA
d6e3d7fb,1,1,90,1,1,4,3,0,1,0,0,0,0,0,0,22,SPA
e1846dde,24,24,2160,24,46,120,74,6,6,12,5,4,4,0,0,22,SPA
e4346678,24,24,2160,24,35,114,78,8,5,11,5,9,7,1,1,22,SPA
ea83bfa6,22,21,1964,21,21,76,55,11,4,6,8,2,2,0,0,22,SPA
ee8508c0,38,38,3420,38,43,106,65,21,8,9,12,8,7,1,0,22,SPA
f38284bb,1,1,90,1,1,2,1,1,0,0,0,0,0,0,0,22,SPA
f6798fc3,31,31,2790,31,24,100,75,14,13,4,13,4,2,1,1,22,SPA
fc70e345,31,30,2772,30,37,126,88,11,8,11,9,9,7,2,0,22,SPA
01b8a2b2,7,7,630,7,10,22,13,4,1,2,3,2,2,0,0,22,CL
03df04ff,10,10,900,10,17,52,35,3,4,3,5,1,0,1,0,22,CL
08f5afaa,5,5,450,5,6,25,18,3,1,1,2,2,1,1,0,22,CL
11c7fa75,3,3,270,3,6,17,11,0,2,1,0,0,0,0,0,22,CL
11d8aff0,1,1,90,1,0,3,3,1,0,0,1,0,0,0,0,22,CL
1840e36d,13,13,1230,13,14,72,57,9,0,4,5,1,0,1,0,22,CL
1e064bfb,1,1,90,1,0,4,4,0,1,0,1,0,0,0,0,22,CL
28d596a0,1,1,90,1,3,7,4,0,1,0,0,0,0,0,0,22,CL
2edbd8d5,1,1,90,1,3,8,5,0,0,1,0,0,0,0,0,22,CL
2fabebc0,2,2,180,2,4,9,5,0,2,0,0,0,0,0,0,22,CL
33887998,9,9,840,9,7,16,9,7,0,2,5,1,1,0,0,22,CL
3392603d,6,6,540,6,6,18,13,5,1,0,2,1,1,0,0,22,CL
34c3b935,3,3,265,2,2,8,6,0,2,1,1,0,0,0,0,22,CL
3bb7b8b4,11,11,1002,11,14,28,15,7,2,2,3,2,2,0,0,22,CL
3e1550ee,1,0,18,0,0,1,1,0,0,0,1,0,0,0,0,22,CL
3f034750,6,6,540,6,4,16,12,3,2,1,3,2,2,0,0,22,CL
41f0b196,3,3,270,3,9,25,17,0,0,3,0,0,0,0,0,22,CL
42130443,1,1,90,1,2,5,3,0,0,1,0,0,0,0,0,22,CL
4c62d0c8,1,1,90,1,0,2,2,1,0,0,1,0,0,0,0,22,CL
52b3c895,5,5,450,5,17,37,20,0,0,5,0,3,3,0,0,22,CL
55b93ae0,5,5,450,5,8,35,27,2,1,2,1,1,1,0,0,22,CL
625c144a,12,12,1080,12,16,55,40,5,3,4,3,0,0,0,0,22,CL
65d62814,7,7,630,7,13,29,16,3,1,3,2,0,0,0,0,22,CL
6f51e382,6,6,540,6,9,25,16,2,1,3,3,1,1,0,0,22,CL
728e9b2e,1,1,90,1,4,7,3,0,0,1,0,1,1,0,0,22,CL
74419746,8,8,720,8,7,19,12,4,1,3,3,0,0,0,0,22,CL
7a2e46a8,13,13,1170,13,14,28,14,10,1,2,4,0,0,0,0,22,CL
7ba6d84e,7,7,630,7,9,29,20,3,2,2,1,0,0,0,0,22,CL
7d3e7da6,1,1,90,1,1,5,4,0,1,0,0,0,0,0,0,22,CL
8778c910,9,9,810,9,6,20,14,7,1,1,4,0,0,0,0,22,CL
93fffbcf,6,6,540,6,11,28,18,1,2,3,2,0,0,0,0,22,CL
a04e2dd2,4,4,315,3,8,26,17,0,1,3,0,3,2,1,0,22,CL
a111cf41,6,6,540,6,13,34,21,1,3,2,1,0,0,0,0,22,CL
a6de6361,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,22,CL
a9107589,3,2,225,2,6,18,12,0,0,2,0,2,2,0,0,22,CL
b056e3da,3,3,270,3,2,9,7,1,1,1,1,0,0,0,0,22,CL
b583aef5,1,1,90,1,2,6,4,0,0,1,0,0,0,0,0,22,CL
b8798a46,4,4,360,4,6,17,11,1,0,3,1,1,1,0,0,22,CL
bcb2ccd8,5,5,450,5,14,24,11,1,1,3,0,3,2,0,1,22,CL
c89e8aae,1,1,90,1,2,7,5,0,0,1,0,0,0,0,0,22,CL
cd59b9df,6,6,540,6,11,23,12,3,0,3,2,1,0,1,0,22,CL
d436eb94,6,6,540,6,20,47,27,1,1,4,0,3,3,0,0,22,CL
db401046,5,5,450,5,8,26,18,1,2,2,1,1,1,0,0,22,CL
e1d4f20d,1,0,5,0,1,2,1,0,0,0,0,0,0,0,0,22,CL
e5a76dfe,1,1,67,0,1,4,3,0,1,0,0,0,0,0,0,22,CL
e9c0c1b2,2,2,180,2,2,4,2,1,0,1,0,1,1,0,0,22,CL
eb2b33aa,5,5,450,5,11,24,13,0,0,5,0,1,1,0,0,22,CL
ecada4fc,3,3,270,3,5,16,11,1,1,1,0,0,0,0,0,22,CL
ee8508c0,10,10,900,10,10,36,26,3,3,4,3,2,2,0,0,22,CL
f5dfc256,2,2,180,2,4,8,4,0,0,2,0,0,0,0,0,22,CL
f6798fc3,6,6,540,6,5,19,14,1,3,2,2,4,2,0,2,22,CL
f7b10c66,3,3,270,3,6,15,9,1,0,2,0,0,0,0,0,22,CL
fcb38f57,3,3,270,3,7,20,13,0,0,3,0,2,1,1,0,22,CL
ff74841d,8,8,720,8,14,30,16,3,2,3,1,3,3,0,0,22,CL
01b8a2b2,33,33,2970,33,29,105,73,18,9,6,12,6,3,3,0,22,ITA
085e71a7,7,7,556,6,8,26,17,3,0,4,2,2,1,1,0,22,ITA
0acda699,2,2,177,2,2,9,7,1,1,0,0,0,0,0,0,22,ITA
0d422df7,35,35,3150,35,50,141,92,10,14,11,7,7,5,0,2,22,ITA
0dfce079,3,3,270,3,5,17,11,0,2,1,1,2,1,1,0,22,ITA
10dc46f0,37,37,3330,37,59,180,122,4,16,17,10,5,4,1,0,22,ITA
14a96e1c,17,16,1485,16,27,84,57,1,4,11,1,6,5,0,1,22,ITA
1e26e376,16,16,1440,16,33,105,74,3,4,9,3,6,6,0,0,22,ITA
277da414,31,31,2761,30,52,165,116,9,5,17,7,11,9,0,2,22,ITA
339fe0e8,23,23,2070,23,29,86,58,12,6,5,7,1,1,0,0,22,ITA
343f753a,16,16,1392,15,24,78,54,4,8,4,1,3,3,0,0,22,ITA
457cb02f,3,3,270,3,6,15,9,1,0,2,0,1,1,0,0,22,ITA
4c62d0c8,5,5,405,4,7,16,10,2,1,2,1,0,0,0,0,22,ITA
4f8ce0e1,23,21,1938,21,49,135,87,3,2,16,1,5,3,1,1,22,ITA
53e494ec,1,1,90,1,0,3,3,1,0,0,1,0,0,0,0,22,ITA
54f6afe3,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,22,ITA
649b01d8,29,29,2560,28,48,130,82,8,5,16,5,2,1,1,0,22,ITA
67f649be,1,1,90,1,2,3,1,0,0,1,0,0,0,0,0,22,ITA
74419746,37,37,3330,37,30,124,95,25,9,3,15,4,4,0,0,22,ITA
77d6fd4d,38,38,3420,38,70,216,150,10,11,17,7,10,5,2,3,22,ITA
79b0d6a0,38,38,3420,38,43,146,104,18,9,11,15,6,5,1,0,22,ITA
7b5f516f,1,0,37,0,1,2,1,0,0,0,0,0,0,0,0,22,ITA
82b1198a,31,31,2790,31,25,106,82,19,6,6,13,1,1,0,0,22,ITA
880fcdbb,1,0,11,0,0,1,1,0,0,0,1,0,0,0,0,22,ITA
8cabdc1e,37,37,3322,36,63,171,108,13,11,13,3,9,8,1,0,22,ITA
9413b19f,7,7,619,6,6,29,23,5,1,1,2,0,0,0,0,22,ITA
9f5a610b,10,9,855,9,14,54,41,2,1,6,2,1,1,0,0,22,ITA
9fa26bc2,27,27,2430,27,33,80,46,9,7,11,4,8,7,1,0,22,ITA
a111cf41,33,33,2932,32,42,119,80,16,8,9,8,4,3,0,1,22,ITA
a2565f79,1,1,90,1,5,8,3,0,0,1,0,0,0,0,0,22,ITA
ab4449d6,36,36,3240,36,53,174,122,11,9,16,12,9,8,1,0,22,ITA
ac4003af,5,5,450,5,5,18,13,0,3,2,2,2,2,0,0,22,ITA
ad263695,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,22,ITA
b056e3da,6,6,540,6,10,24,14,4,1,1,1,3,2,1,0,22,ITA
b1f0b916,1,0,8,0,0,1,1,0,0,0,0,0,0,0,0,22,ITA
c1d95617,34,34,3060,34,50,137,88,13,10,11,4,3,2,1,0,22,ITA
c9c32262,6,6,495,5,9,39,30,2,1,3,0,0,0,0,0,22,ITA
cc1a0c57,7,7,630,7,19,43,23,1,1,5,0,2,1,1,0,22,ITA
cf1c23d8,3,3,270,3,8,21,13,1,0,2,1,0,0,0,0,22,ITA
d7a35008,1,0,5,0,1,1,0,0,0,0,0,1,1,0,0,22,ITA
e1b0a70d,32,31,2862,31,43,100,58,16,5,10,9,3,2,1,0,22,ITA
e358587b,15,15,1350,15,29,60,31,6,4,5,2,5,4,0,1,22,ITA
