id,matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp
51b41c5c,30,2130,23.7,24,19,6,4,22,38,-16,23.4,31.7,-8.3,18,ENG
51cf8561,8,532,5.9,6,3,2,12,16,3,13,10.6,3.4,7.2,18,ENG
52105203,17,1435,15.9,16,15,1,2,16,26,-10,23.7,20.1,3.6,18,ENG
5271c8f1,7,363,4.0,4,3,3,1,14,1,13,9.2,2.5,6.7,18,ENG
53538b39,30,1406,15.6,14,8,16,8,8,21,-13,12.9,21.5,-8.7,18,ENG
53af52f3,33,2965,32.9,33,32,0,0,49,47,2,44.7,39.6,5.1,18,ENG
53cad200,37,3330,37.0,37,37,0,1,61,38,23,52.9,33.8,19.1,18,ENG
5540c9dc,38,3386,37.6,38,37,0,0,30,55,-25,35.6,47.8,-12.2,18,ENG
562eed5c,17,1452,16.1,17,15,0,3,14,27,-13,14.9,19.4,-4.5,18,ENG
56f6f826,3,200,2.2,2,2,1,28,1,5,-4,2.0,2.9,-0.9,18,ENG
57c433c8,14,306,3.4,0,0,14,4,5,11,-6,4.5,7.8,-3.3,18,ENG
57df7a11,27,1870,20.8,21,13,6,5,27,29,-2,21.2,27.3,-6.1,18,ENG
580d52dd,27,1641,18.2,20,11,7,6,13,30,-17,15.8,23.3,-7.5,18,ENG
59bf127b,29,2126,23.6,24,20,5,5,37,20,17,31.4,21.5,9.9,18,ENG
59e6e5bf,32,1882,20.9,18,13,14,1,26,29,-3,23.9,29.0,-5.1,18,ENG
5a1900a4,37,2570,28.6,28,20,9,1,18,39,-21,24.4,44.3,-20.0,18,ENG
5a4280b1,16,1440,16.0,16,16,0,22,14,21,-7,13.0,22.4,-9.4,18,ENG
5acc4a10,23,1542,17.1,18,13,5,13,15,29,-14,18.5,23.3,-4.8,18,ENG
5b54bf3b,5,260,2.9,2,0,3,6,3,3,0,2.4,4.9,-2.5,18,ENG
5bddccc9,19,1329,14.8,17,6,2,1,12,23,-11,12.3,18.6,-6.3,18,ENG
5be28712,6,366,4.1,4,3,2,16,9,7,2,7.3,5.1,2.1,18,ENG
5c2b4f07,17,1429,15.9,16,14,1,13,35,12,23,30.5,9.7,20.8,18,ENG
5dbefa9d,30,1845,20.5,19,11,11,4,20,41,-21,20.9,34.4,-13.5,18,ENG
5eae500a,34,2867,31.9,33,30,1,0,63,26,37,49.6,35.6,14.0,18,ENG
5eebbfdf,13,1023,11.4,13,6,0,0,13,9,4,14.2,12.0,2.2,18,ENG
5eecec3d,18,1302,14.5,16,11,2,4,44,11,33,30.7,8.5,22.2,18,ENG
5f09991f,28,2184,24.3,25,21,3,8,31,38,-7,32.2,34.7,-2.5,18,ENG
601ef102,15,453,5.0,3,0,12,3,9,12,-3,7.1,8.5,-1.5,18,ENG
61abe9b6,15,707,7.9,8,4,7,0,3,8,-5,5.5,9.7,-4.1,18,ENG
6265208f,30,1712,19.0,19,4,11,4,20,25,-5,18.5,26.2,-7.7,18,ENG
62a0089e,3,37,0.4,0,0,3,5,1,0,1,1.0,0.8,0.2,18,ENG
63d17038,1,90,1.0,1,1,0,1,1,0,1,0.9,0.8,0.0,18,ENG
6421ec64,36,3039,33.8,36,26,0,1,30,58,-28,31.6,54.3,-22.7,18,ENG
64b08de7,4,205,2.3,3,0,1,0,0,6,-6,1.6,5.3,-3.7,18,ENG
653ee42d,36,3240,36.0,36,36,0,0,34,50,-16,34.9,48.1,-13.2,18,ENG
67d23ab0,33,2452,27.2,27,17,6,3,22,39,-17,24.4,29.3,-4.9,18,ENG
6813ac34,37,3289,36.5,37,35,0,0,45,62,-17,34.3,50.6,-16.3,18,ENG
68796d61,27,1324,14.7,17,2,10,2,25,19,6,21.2,18.7,2.5,18,ENG
691bef82,7,362,4.0,4,3,3,11,11,0,11,8.3,2.5,5.9,18,ENG
6992791d,19,1286,14.3,17,5,2,0,18,22,-4,14.0,24.2,-10.2,18,ENG
6adbc307,22,1980,22.0,22,21,0,5,19,33,-14,21.2,27.9,-6.7,18,ENG
6b47c5db,33,2898,32.2,33,30,0,0,46,44,2,41.4,39.5,1.9,18,ENG
6c679c6d,33,2421,26.9,27,16,6,1,28,29,-1,26.5,30.9,-4.4,18,ENG
6c96b263,4,168,1.9,1,1,3,2,0,4,-4,0.5,4.1,-3.6,18,ENG
6ca5ec4b,26,1830,20.3,22,5,4,10,36,26,10,35.6,25.5,10.2,18,ENG
6cc47ae1,6,224,2.5,3,0,3,6,3,8,-5,3.3,5.6,-2.3,18,ENG
6cdd8245,23,1902,21.1,22,17,1,0,30,31,-1,27.4,27.7,-0.3,18,ENG
6d6f09dc,6,163,1.8,1,0,5,4,1,2,-1,1.8,1.1,0.7,18,ENG
6dfd5af0,24,1307,14.5,16,3,8,7,12,21,-9,13.0,22.3,-9.3,18,ENG
6eaed4eb,24,2103,23.4,24,23,0,4,24,32,-8,23.5,32.0,-8.6,18,ENG
6fd8a334,11,769,8.5,7,6,4,18,10,14,-4,10.8,10.0,0.8,18,ENG
715fc0fe,16,851,9.5,11,2,5,4,9,14,-5,10.1,12.4,-2.3,18,ENG
71672fa0,34,3039,33.8,34,33,0,1,64,48,16,60.3,43.1,17.3,18,ENG
71ef519e,35,2804,31.2,32,21,3,3,35,35,0,36.5,41.4,-4.9,18,ENG
72c812f3,33,2751,30.6,32,24,1,1,38,42,-4,32.1,40.1,-8.1,18,ENG
7314bba4,37,3292,36.6,37,35,0,0,32,52,-20,35.1,48.2,-13.1,18,ENG
73489527,24,1997,22.2,24,12,0,0,18,17,1,15.9,28.6,-12.8,18,ENG
7391c2d9,14,1179,13.1,13,13,1,8,9,18,-9,10.6,19.4,-8.9,18,ENG
73d9bdc7,31,1567,17.4,14,10,17,4,18,27,-9,20.4,31.8,-11.4,18,ENG
74b2cd7e,32,2880,32.0,32,32,0,5,43,60,-17,32.0,49.5,-17.5,18,ENG
74e12f1e,38,3420,38.0,38,38,0,0,36,39,-3,32.3,51.2,-18.9,18,ENG
7527558b,28,1540,17.1,16,8,12,3,20,31,-11,20.8,26.4,-5.7,18,ENG
758dd7f0,21,1758,19.5,20,18,1,17,17,31,-14,16.5,32.4,-15.9,18,ENG
75f2c59f,32,1624,18.0,18,6,14,0,23,34,-11,22.8,24.1,-1.3,18,ENG
76c131da,9,229,2.5,2,0,7,10,2,2,0,2.1,2.6,-0.6,18,ENG
76dd1480,27,2259,25.1,25,20,2,2,31,40,-9,26.3,37.5,-11.3,18,ENG
76eca7e2,27,2430,27.0,27,27,0,9,29,41,-12,35.9,36.8,-0.9,18,ENG
76fa5f80,1,71,0.8,1,0,0,16,0,2,-2,0.2,1.0,-0.7,18,ENG
78803d03,25,2016,22.4,23,19,2,10,16,23,-7,18.6,28.6,-10.1,18,ENG
78b8ac63,11,276,3.1,2,0,9,2,3,5,-2,3.3,5.3,-2.0,18,ENG
7914b9fe,27,2086,23.2,24,22,3,7,35,24,11,33.5,22.5,11.0,18,ENG
7a11550b,23,1902,21.1,21,21,2,6,47,22,25,41.1,18.6,22.5,18,ENG
7a1f2c08,12,442,4.9,4,4,8,17,3,6,-3,6.2,6.9,-0.7,18,ENG
7b4de647,38,3420,38.0,38,38,0,0,45,61,-16,38.8,59.2,-20.4,18,ENG
7ba6d84e,37,3330,37.0,37,37,0,0,67,28,39,55.3,40.1,15.2,18,ENG
7bb5f40e,30,2093,23.3,23,13,7,1,24,32,-8,23.1,26.2,-3.1,18,ENG
7bc34048,17,1243,13.8,14,10,3,5,10,27,-17,11.9,22.0,-10.1,18,ENG
7c104bb7,7,159,1.8,1,0,6,10,7,6,1,3.7,3.6,0.1,18,ENG
7c2a398c,3,198,2.2,3,1,0,0,4,3,1,4.4,3.8,0.6,18,ENG
7c4243d4,11,754,8.4,9,4,2,9,4,16,-12,6.3,13.2,-7.0,18,ENG
