id,y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp
2bcc6d52,8,0,0,43,52,30,0,0,0,81,32,81,113,18,GER
2c38b327,0,0,0,5,5,0,0,0,0,6,4,13,17,18,GER
2db2fd7b,4,0,0,14,7,0,0,0,0,106,33,13,46,18,GER
2e64bb49,0,0,0,0,0,0,0,0,0,1,1,0,1,18,GER
2e7ff968,2,0,0,2,4,0,0,1,0,50,8,0,8,18,GER
302527b2,2,0,0,9,5,0,0,0,0,33,15,15,30,18,GER
30261ba1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,GER
30c220c3,2,0,0,33,48,0,0,0,0,96,23,41,64,18,GER
31114001,1,0,0,8,9,1,0,0,0,38,11,34,45,18,GER
316de854,1,0,0,3,3,0,0,0,0,10,1,12,13,18,GER
3189f61a,3,1,0,25,6,1,0,0,0,86,12,5,17,18,GER
32e96d52,0,0,0,0,0,0,0,0,0,2,0,2,2,18,GER
3376a776,4,0,0,27,18,2,0,2,0,95,56,39,95,18,GER
33a81b3d,0,0,0,1,5,1,0,0,0,18,4,7,11,18,GER
33b554b7,7,0,0,53,69,1,0,0,0,127,61,55,116,18,GER
33ec696b,0,0,0,0,0,0,0,0,0,2,0,0,0,18,GER
346d51d9,4,0,0,40,42,0,0,0,0,113,33,27,60,18,GER
34b54da7,2,0,0,8,9,0,0,0,0,21,16,9,25,18,GER
34c313d5,1,0,0,8,7,1,0,0,0,15,11,15,26,18,GER
362aa29d,0,0,0,0,0,0,0,0,0,0,1,0,1,18,GER
36a3ff67,1,0,0,13,20,5,0,0,0,42,3,11,14,18,GER
379c0717,0,0,0,0,0,0,0,0,0,1,0,0,0,18,GER
37c213cf,0,0,0,2,1,0,0,0,0,1,4,0,4,18,GER
37f606f0,9,0,0,53,25,0,0,0,0,96,10,15,25,18,GER
381e52af,0,0,0,3,2,0,0,0,1,14,3,7,10,18,GER
384d58d9,11,0,0,57,25,1,0,1,0,135,17,24,41,18,GER
