id,att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp
ae94a6c5,8,7,7,1,0,7,10,3,7,2,5,3,11,4,0,23,EL
aee634bf,11,4,7,2,2,9,15,6,6,1,5,3,14,6,0,23,EL
aeed5c06,0,0,0,0,0,0,6,6,5,0,5,1,1,0,0,23,EL
af0c835b,11,4,6,5,0,5,13,8,6,0,6,3,14,7,0,23,EL
af50141d,9,5,4,5,0,7,11,4,2,0,2,5,14,0,1,23,EL
af686bed,7,5,5,1,1,3,8,5,8,1,7,10,17,8,0,23,EL
afb0c500,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,23,EL
b003239d,0,0,0,0,0,0,0,0,1,1,0,3,3,4,0,23,EL
b026bbf6,6,2,2,4,0,0,3,3,4,0,4,5,11,8,0,23,EL
b0f7e36c,6,4,5,1,0,1,5,4,3,1,2,2,8,1,0,23,EL
b146275b,6,2,0,5,1,3,5,2,0,0,0,2,8,4,0,23,EL
b1cd37e6,5,4,2,1,2,2,9,7,3,0,3,2,7,10,0,23,EL
b396a0b1,4,2,2,0,2,3,4,1,1,0,1,0,4,2,0,23,EL
b3af9be1,11,8,5,4,2,6,6,0,2,0,2,4,15,7,0,23,EL
b3dc6eca,1,0,1,0,0,1,1,0,3,2,1,7,8,4,0,23,EL
b5f66351,11,4,5,4,2,7,14,7,4,1,3,3,14,6,0,23,EL
b625b241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,EL
b62878a5,3,2,0,2,1,0,0,0,1,0,1,1,4,2,0,23,EL
b66315ae,5,2,1,1,3,0,4,4,3,0,3,0,5,0,0,23,EL
b682dcf6,2,1,2,0,0,1,2,1,1,0,1,3,5,8,0,23,EL
b684a484,2,0,0,2,0,1,1,0,4,0,4,0,2,4,0,23,EL
b6964eb6,14,10,10,4,0,8,9,1,19,15,4,14,28,50,0,23,EL
b69dfb42,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,23,EL
b6a1cdf9,10,3,2,7,1,5,7,2,3,0,3,1,11,1,0,23,EL
b73f17f8,4,2,4,0,0,3,5,2,1,0,1,7,11,2,0,23,EL
b742cc0d,15,9,8,6,1,7,8,1,12,7,5,8,23,22,1,23,EL
b79d8e93,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23,EL
b7b27de0,1,0,1,0,0,0,1,1,4,0,4,0,1,0,0,23,EL
b7de5bad,7,5,3,2,2,5,5,0,1,0,1,0,7,1,0,23,EL
b853e0ad,22,7,9,7,6,8,23,15,12,1,11,6,28,4,1,23,EL
