id,fk_ag,ck_ag,og_ag,ps_xg,ps_xg_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,att_launch_non_goal_kick,att_pass_non_goal_kick,season,comp
f6798fc3,0,4,2,27.8,1.8,166,381,895,147,28640.0,200,8140.0,450,26,510,15.0,108,181,695,21,SPA
fea23125,0,1,0,6.1,-3.9,32,104,85,9,4437.0,37,2382.8,62,2,9,9.0,36,67,48,21,SPA
01b8a2b2,1,0,0,9.4,1.4,6,15,133,25,2952.6,39,881.4,61,3,172,17.2,3,-24,94,21,CL
0880e10b,0,1,0,5.4,3.4,3,6,27,5,758.7,11,212.3,13,0,0,8.5,0,-5,16,21,CL
14e05913,0,0,0,2.7,-1.3,2,7,28,5,714.0,4,178.0,13,0,14,14.0,3,3,24,21,CL
1840e36d,1,0,1,15.3,2.3,27,109,370,68,11211.0,85,2839.0,116,11,382,18.2,27,24,285,21,CL
1d2d5cc8,0,2,1,10.4,-1.6,26,95,209,18,6625.3,38,1406.0,50,1,81,16.2,18,57,171,21,CL
1e064bfb,0,0,0,1.8,-0.2,5,8,34,8,880.6,5,219.0,11,1,0,5.0,3,3,29,21,CL
27d902c8,0,3,1,12.4,-3.6,11,36,94,19,3017.4,31,771.9,67,3,40,13.4,4,5,63,21,CL
28d596a0,0,0,0,0.5,-0.5,0,2,20,1,502.0,5,97.0,5,0,0,8.0,0,-3,15,21,CL
2e7ff968,0,2,1,11.1,0.1,13,57,137,20,4452.5,40,1368.0,105,3,18,9.3,13,17,97,21,CL
2fabebc0,0,1,0,12.7,-0.3,25,60,151,43,4922.6,39,1333.8,90,4,21,10.6,15,21,112,21,CL
33887998,0,2,0,6.8,3.8,48,113,295,52,8348.5,76,2933.6,153,7,65,13.0,38,37,219,21,CL
339fe0e8,0,0,0,1.0,0.0,4,10,10,3,350.0,8,360.0,14,0,0,0.0,5,2,2,21,CL
34c3b935,1,1,0,4.2,0.2,6,9,19,1,501.6,8,318.4,7,0,14,14.0,5,1,11,21,CL
3bb7b8b4,0,1,0,6.4,1.4,31,71,287,53,8064.7,46,1564.0,76,4,366,19.3,13,25,241,21,CL
3f65d5ce,0,0,1,0.9,0.9,9,25,24,2,1099.2,11,572.0,17,0,0,10.0,8,14,13,21,CL
4030c7ae,0,0,1,14.2,-1.8,39,76,202,33,6262.0,40,1388.0,48,0,60,15.1,16,36,162,21,CL
41f0b196,0,1,1,7.1,0.1,20,91,162,28,5718.6,52,2438.8,117,2,10,10.3,32,39,110,21,CL
